path,relpath,true_folder,stage1_prob_defect,stage1_pred,stage2_pred,final_pred,correct_1or0,copied_path
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_642439__lot_lot40440__wafer_5.0.png,None\idx_642439__lot_lot40440__wafer_5.0.png,None,5.846305793966167e-05,None,Scratch,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_642439__lot_lot40440__wafer_5.0__idx010.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_703441__lot_lot43162__wafer_14.0.png,None\idx_703441__lot_lot43162__wafer_14.0.png,None,0.043493080884218216,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_703441__lot_lot43162__wafer_14.0__idx011.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_723031__lot_lot43951__wafer_16.0.png,None\idx_723031__lot_lot43951__wafer_16.0.png,None,0.01600353606045246,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_723031__lot_lot43951__wafer_16.0__idx012.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_712671__lot_lot43534__wafer_10.0.png,None\idx_712671__lot_lot43534__wafer_10.0.png,None,0.37796151638031006,Defect,Edge-loc,Edge-loc,0,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_712671__lot_lot43534__wafer_10.0__idx013.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_765075__lot_lot45655__wafer_8.0.png,None\idx_765075__lot_lot45655__wafer_8.0.png,None,3.6712081055156887e-05,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_765075__lot_lot45655__wafer_8.0__idx014.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_755841__lot_lot45279__wafer_21.0.png,None\idx_755841__lot_lot45279__wafer_21.0.png,None,0.22429370880126953,Defect,Loc,Loc,0,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_755841__lot_lot45279__wafer_21.0__idx015.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Edge-ring\idx_328673__lot_lot19814__wafer_25.0.png,Edge-ring\idx_328673__lot_lot19814__wafer_25.0.png,Edge-ring,0.9999997615814209,Defect,Edge-ring,Edge-ring,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Edge-ring\idx_328673__lot_lot19814__wafer_25.0__idx016.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_783951__lot_lot46425__wafer_9.0.png,None\idx_783951__lot_lot46425__wafer_9.0.png,None,2.405211671430152e-05,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_783951__lot_lot46425__wafer_9.0__idx017.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_684211__lot_lot42381__wafer_8.0.png,None\idx_684211__lot_lot42381__wafer_8.0.png,None,0.10125771909952164,Defect,Loc,Loc,0,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_684211__lot_lot42381__wafer_8.0__idx018.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_738540__lot_lot44583__wafer_17.0.png,None\idx_738540__lot_lot44583__wafer_17.0.png,None,1.6133748431457207e-05,None,Scratch,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_738540__lot_lot44583__wafer_17.0__idx019.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_717796__lot_lot43740__wafer_20.0.png,None\idx_717796__lot_lot43740__wafer_20.0.png,None,7.216736412374303e-05,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_717796__lot_lot43740__wafer_20.0__idx020.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Loc\idx_704711__lot_lot43213__wafer_18.0.png,Loc\idx_704711__lot_lot43213__wafer_18.0.png,Loc,0.9999502897262573,Defect,Loc,Loc,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Loc\idx_704711__lot_lot43213__wafer_18.0__idx021.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_702066__lot_lot43107__wafer_13.0.png,None\idx_702066__lot_lot43107__wafer_13.0.png,None,0.0003426252806093544,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_702066__lot_lot43107__wafer_13.0__idx022.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_245493__lot_lot15368__wafer_9.0.png,None\idx_245493__lot_lot15368__wafer_9.0.png,None,0.007984465919435024,None,Scratch,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_245493__lot_lot15368__wafer_9.0__idx023.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_778224__lot_lot46194__wafer_3.0.png,None\idx_778224__lot_lot46194__wafer_3.0.png,None,2.787410994642414e-05,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_778224__lot_lot46194__wafer_3.0__idx024.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_003748__lot_lot151__wafer_24.0.png,None\idx_003748__lot_lot151__wafer_24.0.png,None,0.0001398180756950751,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_003748__lot_lot151__wafer_24.0__idx025.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_770071__lot_lot45857__wafer_10.0.png,None\idx_770071__lot_lot45857__wafer_10.0.png,None,3.005676990142092e-05,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_770071__lot_lot45857__wafer_10.0__idx026.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_769160__lot_lot45820__wafer_16.0.png,None\idx_769160__lot_lot45820__wafer_16.0.png,None,8.236936082539614e-06,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_769160__lot_lot45820__wafer_16.0__idx027.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_686130__lot_lot42458__wafer_15.0.png,None\idx_686130__lot_lot42458__wafer_15.0.png,None,4.696385076385923e-05,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_686130__lot_lot42458__wafer_15.0__idx028.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_780339__lot_lot46279__wafer_16.0.png,None\idx_780339__lot_lot46279__wafer_16.0.png,None,0.0002640303282532841,None,Scratch,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_780339__lot_lot46279__wafer_16.0__idx029.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_805215__lot_lot47287__wafer_16.0.png,None\idx_805215__lot_lot47287__wafer_16.0.png,None,0.000803778413683176,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_805215__lot_lot47287__wafer_16.0__idx030.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Edge-ring\idx_021340__lot_lot2516__wafer_16.0.png,Edge-ring\idx_021340__lot_lot2516__wafer_16.0.png,Edge-ring,0.9999972581863403,Defect,Edge-ring,Edge-ring,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Edge-ring\idx_021340__lot_lot2516__wafer_16.0__idx031.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_752999__lot_lot45166__wafer_4.0.png,None\idx_752999__lot_lot45166__wafer_4.0.png,None,1.0600957466522232e-05,None,Center,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_752999__lot_lot45166__wafer_4.0__idx032.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_805974__lot_lot47318__wafer_18.0.png,None\idx_805974__lot_lot47318__wafer_18.0.png,None,2.7491087166708894e-05,None,Scratch,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_805974__lot_lot47318__wafer_18.0__idx033.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_706775__lot_lot43296__wafer_24.0.png,None\idx_706775__lot_lot43296__wafer_24.0.png,None,0.000537040876224637,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_706775__lot_lot43296__wafer_24.0__idx034.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Edge-ring\idx_141276__lot_lot9150__wafer_4.0.png,Edge-ring\idx_141276__lot_lot9150__wafer_4.0.png,Edge-ring,0.9999996423721313,Defect,Edge-ring,Edge-ring,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Edge-ring\idx_141276__lot_lot9150__wafer_4.0__idx035.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Edge-ring\idx_294480__lot_lot18023__wafer_10.0.png,Edge-ring\idx_294480__lot_lot18023__wafer_10.0.png,Edge-ring,0.9999992847442627,Defect,Edge-ring,Edge-ring,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Edge-ring\idx_294480__lot_lot18023__wafer_10.0__idx036.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_761330__lot_lot45502__wafer_16.0.png,None\idx_761330__lot_lot45502__wafer_16.0.png,None,0.3639317452907562,Defect,Center,Center,0,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_761330__lot_lot45502__wafer_16.0__idx037.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_006618__lot_lot266__wafer_21.0.png,None\idx_006618__lot_lot266__wafer_21.0.png,None,7.023053512966726e-06,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_006618__lot_lot266__wafer_21.0__idx038.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_653571__lot_lot40896__wafer_23.0.png,None\idx_653571__lot_lot40896__wafer_23.0.png,None,6.640905667154584e-06,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_653571__lot_lot40896__wafer_23.0__idx039.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_703518__lot_lot43165__wafer_16.0.png,None\idx_703518__lot_lot43165__wafer_16.0.png,None,1.1406190424168017e-05,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_703518__lot_lot43165__wafer_16.0__idx040.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_790603__lot_lot46694__wafer_25.0.png,None\idx_790603__lot_lot46694__wafer_25.0.png,None,0.00017994407971855253,None,Center,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_790603__lot_lot46694__wafer_25.0__idx041.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_749043__lot_lot45006__wafer_10.0.png,None\idx_749043__lot_lot45006__wafer_10.0.png,None,2.722632643781253e-06,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_749043__lot_lot45006__wafer_10.0__idx042.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_713000__lot_lot43547__wafer_22.0.png,None\idx_713000__lot_lot43547__wafer_22.0.png,None,4.5397173380479217e-05,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_713000__lot_lot43547__wafer_22.0__idx043.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_001531__lot_lot62__wafer_7.0.png,None\idx_001531__lot_lot62__wafer_7.0.png,None,1.5225950846797787e-05,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_001531__lot_lot62__wafer_7.0__idx044.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_789445__lot_lot46647__wafer_7.0.png,None\idx_789445__lot_lot46647__wafer_7.0.png,None,0.07198750972747803,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_789445__lot_lot46647__wafer_7.0__idx045.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_765115__lot_lot45656__wafer_23.0.png,None\idx_765115__lot_lot45656__wafer_23.0.png,None,0.0001335657580057159,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_765115__lot_lot45656__wafer_23.0__idx046.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_777356__lot_lot46158__wafer_10.0.png,None\idx_777356__lot_lot46158__wafer_10.0.png,None,0.00013005526852793992,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_777356__lot_lot46158__wafer_10.0__idx047.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_715435__lot_lot43645__wafer_11.0.png,None\idx_715435__lot_lot43645__wafer_11.0.png,None,0.0001416071318089962,None,Edge-ring,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_715435__lot_lot43645__wafer_11.0__idx048.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_764258__lot_lot45621__wafer_12.0.png,None\idx_764258__lot_lot45621__wafer_12.0.png,None,0.01460373867303133,None,Center,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_764258__lot_lot45621__wafer_12.0__idx049.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_750082__lot_lot45048__wafer_2.0.png,None\idx_750082__lot_lot45048__wafer_2.0.png,None,5.13394888912444e-06,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_750082__lot_lot45048__wafer_2.0__idx050.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_759798__lot_lot45440__wafer_13.0.png,None\idx_759798__lot_lot45440__wafer_13.0.png,None,3.244886829634197e-05,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_759798__lot_lot45440__wafer_13.0__idx051.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_742546__lot_lot44746__wafer_3.0.png,None\idx_742546__lot_lot44746__wafer_3.0.png,None,2.285433220095001e-05,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_742546__lot_lot44746__wafer_3.0__idx052.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_768759__lot_lot45804__wafer_15.0.png,None\idx_768759__lot_lot45804__wafer_15.0.png,None,3.041213403776055e-06,None,Center,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_768759__lot_lot45804__wafer_15.0__idx053.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_796804__lot_lot46945__wafer_21.0.png,None\idx_796804__lot_lot46945__wafer_21.0.png,None,6.564051545865368e-06,None,Loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_796804__lot_lot46945__wafer_21.0__idx054.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_721478__lot_lot43889__wafer_13.0.png,None\idx_721478__lot_lot43889__wafer_13.0.png,None,1.0009251809606212e-06,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_721478__lot_lot43889__wafer_13.0__idx055.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\Edge-loc\idx_685541__lot_lot42434__wafer_14.0.png,Edge-loc\idx_685541__lot_lot42434__wafer_14.0.png,Edge-loc,0.5056493282318115,Defect,Edge-loc,Edge-loc,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\Edge-loc\idx_685541__lot_lot42434__wafer_14.0__idx056.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_693721__lot_lot42769__wafer_20.0.png,None\idx_693721__lot_lot42769__wafer_20.0.png,None,8.92893731361255e-05,None,Center,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_693721__lot_lot42769__wafer_20.0__idx057.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_702623__lot_lot43129__wafer_21.0.png,None\idx_702623__lot_lot43129__wafer_21.0.png,None,9.827385838434566e-06,None,Edge-loc,None,1,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_702623__lot_lot43129__wafer_21.0__idx058.png
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\test\None\idx_721732__lot_lot43899__wafer_17.0.png,None\idx_721732__lot_lot43899__wafer_17.0.png,None,0.8405873775482178,Defect,Edge-loc,Edge-loc,0,C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\newdataset\sample60_stratified_images_swin32\None\idx_721732__lot_lot43899__wafer_17.0__idx059.png
